question,answer
"What is the grading breakdown?","10% problem sets, 10% paper review, 50% mini projects, 30% final project"
"What is Module 1?","Classical Machine Learning"
"What is Module 8?","Final Project Presentations"
"How many modules are there?","8"
"What is the format of problem sets?","Online quizzes"
"What is the letter grade breakdown?","93%+ A, 89-92.9% AB, 85-89.9% B, 81-84.9% BC, 77-80.9% C, 74-76.9% CD, 70-73.9% D, 69.9% or less F"
"What grade is failing?","Less than 69.9%"
"What is the name of this course?","CSC 6621: Applied Machine Learning"
"How many credits is this course?","4"
"What are the course prereqs?","(CSC 5610 or CSC 2621) and (MTH 2130 or MTH 2340 or MTH 5810) or instructor consent) (quarter system prereq: CS 2300)"
"What are the required books for this course?","There are no required readings. All materials will be delivered in the synchronous sessions or by the course instructor"
"What is the overall course structure?","The course will follow this general pattern: Overview, Readings, Instructional Content, Discussion, Mini Project, Problem Sets, Q&A Forum"
"Tell me about the final project","For the final project, your task is to tackle a real-world problem of your choosing using authentic datasets. To maintain project momentum, each team will be required to demo initial progress to the instructor by implementing a baseline model. The subsequent phase involves enhancing the baseline model and conducting comparisons with alternative algorithms. The culmination of the project will be an in-class presentation by each team during the 16th week of the course"
"What is the late assignment policy?","Any assignment submitted after the due date will have 10% deducted from points earned for each day that it is late"
"What is the point of the mini projects?","The primary objective of these mini projects is to provide you with hands-on experience in translating theoretical concepts into practical implementations"
